,Vaccination-Sentiment,user,text,user_description,location,country_code,long,latt,source,user_mentions,retweet_count
18,0,Meet Veterans,You dont outgrow vaccines! Men and women 60+ should #GetVaccinated for #shingles. https://t.co/C9o7cyQv2M https://t.co/Hkdk82dd81,A new community for veterans and the Americans who love them. #USA,"Pennsylvania, USA",,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",[],0
19,0,SLEEPYASH,What a great day to remember that vaccines DO NOT cause autism,a serpent sin ?@rnmkrofficial ?,"Portland, OR",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
20,0,Immunize Nevada,"The best way to prevent pertussis is with vaccination - DTaP for babies/children &amp; Tdap for preteens/teens/adults. 
https://t.co/fiConpnpaA","A statewide partnership dedicated to provider education, advocacy & vaccine access for all Nevadans across the lifespan.",Nevada,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[],0
21,0,Sarah James,WHO | Recommended composition of influenza virus vaccines for use in the 2018 southern hemisphere influenza season https://t.co/8FmnM6gAs1,"Academic clinician interested in infectious diseases, public health and making the world a better place. Public Health ACF Norwich/UEA, MPhil student.","Cambridge, UK",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
22,0,Healthy Body,Vaccines essential for public health https://t.co/49viUm9oca,"Achieve and maintain excellent health with exercise, pure water, high quality food, no prescription drugs or vaccinations.",Las Vegas,,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",[],0
23,0,RAMESH FERRIS,"#vaccineswork for every child, everywhere! Let's work together to ensure children everywhere get access to #vaccines https://t.co/KYMd9gw4AC","Adopted Canadian Polio Survivor, Author,Public Speaker, Vaccine Promoter, End Polio Advocate & Global Citizen!","Whitehorse, Yukon, Canada",CA,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],3
24,0,AIMS Education,"Vaccines In Developing Nations Will Have Saved $820 Billion And 20 Million Lives By 2020 

https://t.co/esnqGHp67E https://t.co/XknASgboTh",AIMS Education is an allied health institute that was founded in 2004. We offer #career training and #certification for a variety of #health care professions.,"Piscataway, NJ ",,,,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[],0
25,0,Imtiaz Tyab,Vaccines work. Because science. https://t.co/Ahi5xOuNAn,Al Jazeera English correspondent based in Beirut with an eye on Syria. Canadian. Views mine. Maybe yours. Not AJE's.,Beirut,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],6
26,0,AHS Central Zone,"The vaccines your child receives in Alberta are safe &amp; protect them from diseases that are not safe.
 https://t.co/wdaQOsiAlX","Alberta Health Services information for residents of Central Alberta, including updates on local AHS resources, programs and services.",Central Alberta,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[],1
27,0,What The F*** Facts,"The doctor who claimed there was a link between autism and vaccines, lost his medical license for creating fraudule https://t.co/IxTiAceMlh",All (& only) things that make you say WTF. Official Account of What The F*** Facts.,,,,,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[],357
28,0,Marlies,"Vaccines are enormously powerful, but still do not protect everyone! @LintermanLab #VIBes17 https://t.co/ioiN3Ydv59","Als je klimt, moet je je altijd ergens aan vasthouden. Ook al is het een verzonnen stuk rots.",Leuven - Belgium,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'screen_name': 'LintermanLab', 'name': 'Linterman Lab', 'id': 757874460275961857, 'id_str': '757874460275961857', 'indices': [69, 82]}]",0
29,0,marcela neves,Vaccines in poor countries have saved 20 million lives and 350 billion dollars since 2001: https://t.co/K19dOtZmn2 via @researchgate,ânimo galera tudo vai melhorar depois da copa 2018,Brasília,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[{'screen_name': 'ResearchGate', 'name': 'ResearchGate', 'id': 18237848, 'id_str': '18237848', 'indices': [119, 132]}]",0
30,0,Seth Bockley,"Yeah I am full of Vaccines, Gluten and GMOs and loving every dang minute of it","art, writing, teaching, resistance / pronounced BOAK-lee",chicago / saint paul,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
31,0,Angus Liu,The right thing not just for a reporter who covers vaccines...a new cell-based quadrivalent #flushot https://t.co/a2ElFxHbBg,"Associate Editor, FiercePharma/FierceBiotech. Medill MSJ 16","Washington, DC",US,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],0
32,0,"DoveMed, Ltd.","Vaccines Save 20 Million Lives, $350 Billion In Poor Countries Since 2001. https://t.co/ipg9OtuK4z https://t.co/t7FXSCaCHt",At DoveMed we promote health and wellness through physician approved health info. Our mission is to create healthy communities across the globe.,San Francisco,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[],1
33,0,Forest Hills Medical,#Vaccines are a safe way to protect your health.#WomensHealth #HeartHealthy https://t.co/muO4N5h3ot via @CDCgov,"At Forest Hills Medical Services, we strive to consistently provide an outstanding, ethical quality of care for our extraordinary patients.","Forest Hills, NY",,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[{'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [104, 111]}]",0
34,0,affirmative hank,".@madonnamking AVN reality -  ""Vaxxed"" broadcasts claims that vaccines cause gay, lesbian and transgender people https://t.co/KkZsZ9S6EW",Australian Skeptic of the Year 2014. Subsists exclusively on past glories.,Australia,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[{'screen_name': 'madonnamking', 'name': 'Madonna King', 'id': 235937796, 'id_str': '235937796', 'indices': [1, 14]}]",7
35,0,Kayla Williams,You don't outgrow vaccines! Men &amp; women 60+ should #GetVaccinated for shingles: https://t.co/5eoaHr03j4,"Author, Veteran, Advocate",Northern Virginia,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[],0
36,0,Jacque,This is one of those vaccines everyone should have. Would limit any out breaks. https://t.co/Y6zsUmisBS,Baby Boomer,"Oregon, USA",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
37,0,Claudi,Yo can you believe I had a conversation with a teacher in High School that actually believed vaccines caused autism,"Badass feminist scholar.
Venezolana ?? Proud Latina ?","Virginia, USA",,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],0
38,0,ABClinic,"Why You Need the Shingles, Flu and Pneumonia Vaccines https://t.co/TY66amdNFR",Based in #Detroit: On a mission to improve balance and prevent falls by providing high quality occupational and physical therapy.,"Detroit, MI",,,,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>",[],0
39,0,Weston Merrick,"Vaccines saved more than a million lives.
A MILLION. In one country. 
Vaccines did this. Vaccines. 
VAC ? CIN ?ATE https://t.co/ftUPGyGXjV",Benefit-cost analysis at MN Management & Budget. Public policy PhD candidate. Mizzou alum. Cardinals fan. Midwesterner learning to live up North.,"Minneapolis, MN",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
40,0,Steven L Mandel MD,Time for Sam Mandel to get the flu shot! - https://t.co/LRKpeIKDPs #FluShot #Influenza #Vaccines #LosAngeles,Board Certified Anesthesiologist with a Master's Degree in Psychology. President & Founder of Ketamine Clinics of LA. Avid sailor and skier. Husband & Father.,"Marina Del Rey, CA",,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[],0
41,0,FYI Living,Vaccines Containing Thimerosal Not Linked With Autism https://t.co/ye1YnUIAxO,Breaking research and expert advice for a healthier you,California,,,,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",[],0
42,0,Omni-King,There is NOT accurate evidence showing a direct link to vaccines and autism. That's what people want to believe sin https://t.co/R8fe2X5BSy,Buongiorno Principessa!! IG: thug_vida,"Atlanta, Ga",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
43,0,Mary Kato,"""I don't do immunizations"" ok bitch when you get hepatitis A, I have no vaccines to give you ?",but you were the prettiest flower i had ever seen @LanaDelRey,Goal Digging,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
44,0,UMass Boston Safety,Thanks to all who showed up for Immunopalooza today! We dispensed hundreds of flu vaccines &amp; tested campus prepared https://t.co/WRzvVWxsxu,Call 911 in an emergency. Follow @umassboston for tweets about campus emergencies & closures. Maintained by Office of Emergency Management & Business Continuity,UMass Boston,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
45,0,TheDrsWolfson,Vaccines ravaged their family. Now they are fighting for yours #naturalimmunity https://t.co/B0j1eQlh8F,"Cardiologist marries chiropractor. We use nutrition and supplements to prevent disease. We believe in breastfeeding, co-sleeping, and attachment parenting.","Paradise Valley, AZ",,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",[],0
46,0,Jay ???????????,Youre a threat to autistic people. Vaccines work. Autism isnt a disease. https://t.co/HfBsTdHn82,"Cat ? lover, dufc fan, feminist, geek, TV fanatic, and writer. #actuallyAutistic #cripthevoteuk she/her",,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
47,0,Jacob Wohl,The evidence that vaccines are safe is overwhelming https://t.co/xxhVcluhO3,CEO of Montgomery Assets | Fixed Income/Rates Trader | Zionist | Trumpenomics Expert | Executive Editor at https://t.co/GUS1qH4EVJ,"Los Angeles, CA",,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],2
48,0,"Dennis Lund, MD, CMO",#Flu season is right around the corner. New vaccine recos from @AmerAcadPeds shares how best to prevent flu: https://t.co/Q3mXYFRybD,"Chief Medical Officer @StanfordChild devoted to quality, innovative healthcare for children in need.","Stanford, CA",,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[{'screen_name': 'AmerAcadPeds', 'name': 'Amer Acad Pediatrics', 'id': 32431468, 'id_str': '32431468', 'indices': [63, 76]}]",1
49,0,lauraleehallSHC,Vaccine conference - evidence based and practical ways to help patients accept vaccines.  #vaxstrat #shcllc,"Chief Operating Officer and Senior Vice President of Sustainable Healthy Communities, LLC","Washington, DC",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],1
50,0,"Jennifer Rand, Ph.D.",Vaccines aren't just for kids. https://t.co/XOtbCCWf4c by #ClevelandClinic via @c0nvey,"Christian, wife, mother, daughter, sister, friend, Texan, educator, Admission Associate at Fort Worth Academy https://t.co/uhOOw0wlBA","Texas, USA",,,,"<a href=""http://convey.pro"" rel=""nofollow"">Convey: Make it post for you</a>","[{'screen_name': 'c0nvey', 'name': 'Convey', 'id': 750282011160481792, 'id_str': '750282011160481792', 'indices': [79, 86]}]",0
51,0,Fisher's Pharmacy,"Vaccines work by preparing the bodys immune system for future attacks from disease, caused by viruses or bacteria. https://t.co/Zaj12kAIYd","Community pharmacy in Bedford, Pennsylvania","Bedford, Pennsylvania",,,,"<a href=""http://www.snapretail.com"" rel=""nofollow"">SnapRetail</a>",[],0
52,0,Tim Chodzin,Vaccines. Work. https://t.co/hGftWJ1CnK,"Community-based MFT. I tweet about Ohio State and Cleveland sports a lot. #YNWA.

Still #NeverTrump.","Columbus, Ohio",,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],0
53,0,Enbie Venezuelan,Vaccines are the reason we didn't have any outbreaks in Venezuela until the vaxx went scarce. Fuck white people.,"Computer Engineer. Also, aspiring comic/animation artist. Never sticks to one decision for too long.",,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
54,0,96fm Opinion Line,We're speaking to Professor Olle Johansson about smart meters and he's just said Andrew Wakefield was right about autism and vaccines #ohno,Cork's No 1 talk show on @Corks96fm 9am - 12 midday. 1850 715 996. Tweets by @deshocks @brendadennehy @pjcoogan & @fergalbarry #ol96 #WeAreCork.,Cork,IE,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
55,0,Ryan Kukor,"Understood medical overordering is a problem, but please stop discouraging average primary patients from refusing t https://t.co/59kWLsMC1k",correlation ? causation,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],0
56,0,Oliver Queen,Why do people still buy into the delusional idea that vaccines cause autism?,"CU 17. Clinical Mental Health Grad Student at IUP
sc: joshie22
Being a conservative does not make you a Nazi.","Luthersburg, Pennsylvania ",US,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],0
57,0,Screwproof News,#psychology &amp; #neuroscience news Lying About Vaccines https://t.co/CvEWTItwbH,"Curated business, decision making, startups, deal making & self publishing news from Screwproof author A K Walker (go to @killdozer to interact with me)",Kindle store,,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",[],0
58,0,Brent Danley,Vaccines are either safe or they aren't (they are). It doesn't matter what you believe. https://t.co/idfmwtIrEN @FernandDales,Dad. Friend. Web developer. Lover of ideas and conversation. Kayaker. Private pilot. Snowboarder. Tennis player. Humanist. Volunteer. Widower.,"Saco, Maine, USA",,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[{'screen_name': 'FernandDales', 'name': 'Rebecca Bredow', 'id': 733346789273673729, 'id_str': '733346789273673729', 'indices': [112, 125]}]",0
59,0,Annie Shum,The U.K. just eliminated measles. https://t.co/vz2LjJfkJd,Data Scientist; Visualytics; Connect the Dots; Fractals; Data Visualizations & Analytics; Bigdata;  Modeling Biological Aging & Healthspan Assurance,"Boston, LA",,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
60,0,Dr. Peter J. Hotez,TY @SarahforHD134 very kind. Sunday night always seems to bring out more #antivax crazy. FYI all our vaccines throu https://t.co/Do6POUTC3s,Dean-National School of Tropical Medicine-Baylor Coll of Med; Texas Children's Center for Vaccine Development; PLOS NTDs; Ex-US Science Envoy; Autism Father,Houston TX + Wash DC,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[{'screen_name': 'SarahforHD134', 'name': 'Sarah Davis', 'id': 169229045, 'id_str': '169229045', 'indices': [3, 17]}]",1
61,0,Aging Research,"You can get vaccinated at a doctors office, pharmacy &amp; even some workplaces. Learn more about #vaccines: https://t.co/7G6H991Lcj",Dedicated to accelerating scientific discoveries & their application to vastly improve the universal human experience of aging & health. RTs  ? endorsements,"Washington, DC",,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",[],0
62,0,MobileODT,Via @abcnews: Ending #cervicalcancer in a generation means we need #vaccines &amp; screening. Australia joins effort https://t.co/i2y7i1Ryfa,"Delivering an FDA approved colposcope, alongside powerful software for health system strengthening and BIG data to help identify cancers anywhere, anytime.",,,,,"<a href=""http://www.oktopost.com"" rel=""nofollow"">Oktopost</a>","[{'screen_name': 'abcnews', 'name': 'ABC News', 'id': 2768501, 'id_str': '2768501', 'indices': [4, 12]}]",0
63,0,Smiling Dog Crew,Vaccines may not give you autism... But reading people talking about Elite sure does,Delivering Emergent Gameplay since 3301.,melb,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
64,0,Jon Passantino,The disgraced doctor who hatched the myth that vaccines can cause autism is still raising big $ https://t.co/DzerBNJdeW,"Deputy News Director @BuzzFeedNews, reporting the ? @BuzzFeedStorm. Made in California. Tips/hate mail: jonp@buzzfeed[.]com",Los Angeles,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],3
65,0,Janet Morris,Vaccines aren't just about saving your life. They're about protecting the lives of strangers as well. They are basically a civic duty.,"Disabled INFJ ginger fangirl & Hufflepuff from Alabama with the superpower of freckling. I write, make jewelry, and get political. Randomness since 1984.","Huntsville, AL",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
66,0,Protean,Vaccines don't cause autism. There is no link.,Do good. Be good. The truth matters. I don't care for double standards and hypocrisy.  Threat | Cyber Intel Analyst.,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],0
67,0,Elaine Frank,Vaccines Protect Monkeys Against Ebola and Marburg Viruses https://t.co/UrZrntDrRR,DOB:05/12/1944,"Philadelphia, PA",,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
68,0,Ian Kelleher,Vaccines are the SUPERSTARS of medicine!? Amazing scientific superstars!! It's time we started celebrating them in https://t.co/lqGg1dMSDi,"Doctor&researcher at Royal College of Surgeons in Ireland, psychiatrist, trying to help understand causes of mental ill health.","Dublin City, Ireland",,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],3
69,0,Bharat Pankhania,"Vaccines save lives and money. Primary prevention is the best.
 https://t.co/bnxm3QaJx4","Doctor.
Public Health Medicine. 
Consultant Communicable Disease Control. 
Senior Clinical Lecturer.",Bath,GB,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],3
70,0,Petroleum Neiswanger,"The jury is not still out on vaccines, you frickin' idiots! @ValentineShow @JohnnyBPhilV @997wtn @Stval3 @jimmystone1996 @soupsONcampbell","Donald Trump is a buffoon. If you support Trump, you're a buffoon too.",,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'screen_name': 'ValentineShow', 'name': 'Phil Valentine', 'id': 54655169, 'id_str': '54655169', 'indices': [60, 74]}, {'screen_name': 'JohnnyBPhilV', 'name': 'John E. Bozeman', 'id': 69651469, 'id_str': '69651469', 'indices': [75, 88]}, {'screen_name': '997wtn', 'name': 'SuperTalk 99.7 WTN', 'id': 262747745, 'id_str': '262747745', 'indices': [89, 96]}, {'screen_name': 'Stval3', 'name': 'Spencer Valentine', 'id': 826251901, 'id_str': '826251901', 'indices': [97, 104]}, {'screen_name': 'jimmystone1996', 'name': 'Jimmy Stone', 'id': 199882364, 'id_str': '199882364', 'indices': [105, 120]}, {'screen_name': 'soupsONcampbell', 'name': 'Campbell Valentine', 'id': 204055789, 'id_str': '204055789', 'indices': [121, 137]}]",0
71,0,Hans,"VACCINES ARE SAFE
THIS IS NOT A JOKE https://t.co/qVgMI1FJf3",Don't forget these days - Robert Enke --- ? ?? ????? --- Hold The Door --- Contrarian,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
72,0,"Vincent Iannelli, MD","Vaccines aren't 100% safe or 100% effective, but their benefits still far outweigh any small risks they might have. https://t.co/0h6yXufMPg",Dr. Iannelli is a pediatrician and author of the Everything Father's First Year Book.,Dallas,,,,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[],2
73,0,Tate Hooker,THERE IS NO CORRELATION BETWEEN VACCINES AND AUTISM. @ ME WITH THAT BULLSHIT. I DARE YOU. I DOUBLE DARE YOU MOTHER FUCKER.,Dude. Whiskey connoisseur. Professional bandaid slinger. Unapologetically American. Viva.,"Kansas, USA",US,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],0
74,0,Kim Barrett,Those who ignore science to refuse vaccines for their kids should take a look at this https://t.co/eWqaJxl8uA,Editor-in-Chief of @JPhysiol; GI physiologist; Euro-Brit ex-pat abroad in So Cal; Prof of Med @UCSanDiego; tweets are not official position of @thephysoc,"San Diego, CA",,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],0
75,0,Melanie juacalla,Vaccination day. my son so brave 2 vaccines received ...bravo,Face is the mirror of my Heart, Philippines ,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",[],0
76,0,Christopher Chareau,Vaccines are medical fascism lol. Fascist is getting tossed around a lite too loosely these days. I'm amazed by the https://t.co/68UCOWWlYC,"Fan of MMA, and board games. Engaged. Studying Psychology. Reminder to try not to over exaggerate politics and let's all try to be friends.",,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",[],0
